Player1,Player2,Winner,Player1_Name,Player1_Score,Player2_Name,Player2_Score
5,17,Ramen 🍜,Ramen 🍜,4.968339166428539,KABOOM,4.230348456593447
5,18,Ramen 🍜,Ramen 🍜,4.968339166428539,Feral,0.9239747215935605
5,19,Ramen 🍜,Ramen 🍜,4.968339166428539,NIAN,2.036794904452468
5,20,Ramen 🍜,Ramen 🍜,4.968339166428539,bloodambusher,2.8609787683106953
5,21,Ramen 🍜,Ramen 🍜,4.968339166428539,UC | skittle🤍,1.1209074122340144
5,22,Ramen 🍜,Ramen 🍜,4.968339166428539,NotAlan,3.6583189035006862
5,23,Ramen 🍜,Ramen 🍜,4.968339166428539,L1S|Odin❦,4.434424970712591
5,24,Ramen 🍜,Ramen 🍜,4.968339166428539,PapaBoomkids,1.405662593984962
5,25,Ramen 🍜,Ramen 🍜,4.968339166428539,WaliEast | ➡️,3.885268193599868
5,26,Ramen 🍜,Ramen 🍜,4.968339166428539,Joe The Doe,2.9293903072290677
6,7,TatorTot,TatorTot,5.060576130988503,I CAME,2.8194070672873335
6,8,Tribe | wBob,TatorTot,5.060576130988503,Tribe | wBob,5.677999152363071
6,9,TatorTot,TatorTot,5.060576130988503,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
6,10,miZz,TatorTot,5.060576130988503,miZz,5.819125939849623
6,11,TatorTot,TatorTot,5.060576130988503,Paris,3.349591572487394
6,12,TatorTot,TatorTot,5.060576130988503,Icy❄,4.6708499524187195
6,13,TatorTot,TatorTot,5.060576130988503,Neivax,3.5186822567282783
6,14,TatorTot,TatorTot,5.060576130988503,Amiweird?,3.7566639546014646
6,15,TatorTot,TatorTot,5.060576130988503,NinjaBrawlerXD,4.949447286223822
6,16,TatorTot,TatorTot,5.060576130988503,SamLuvAsians,3.7485529678403435
6,17,TatorTot,TatorTot,5.060576130988503,KABOOM,4.230348456593447
6,18,TatorTot,TatorTot,5.060576130988503,Feral,0.9239747215935605
6,19,TatorTot,TatorTot,5.060576130988503,NIAN,2.036794904452468
6,20,TatorTot,TatorTot,5.060576130988503,bloodambusher,2.8609787683106953
6,21,TatorTot,TatorTot,5.060576130988503,UC | skittle🤍,1.1209074122340144
6,22,TatorTot,TatorTot,5.060576130988503,NotAlan,3.6583189035006862
6,23,TatorTot,TatorTot,5.060576130988503,L1S|Odin❦,4.434424970712591
6,24,TatorTot,TatorTot,5.060576130988503,PapaBoomkids,1.405662593984962
6,25,TatorTot,TatorTot,5.060576130988503,WaliEast | ➡️,3.885268193599868
6,26,TatorTot,TatorTot,5.060576130988503,Joe The Doe,2.9293903072290677
7,8,Tribe | wBob,I CAME,2.8194070672873335,Tribe | wBob,5.677999152363071
7,9,Q҉W҉E҈R҉T҉Y҉,I CAME,2.8194070672873335,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
7,10,miZz,I CAME,2.8194070672873335,miZz,5.819125939849623
7,11,Paris,I CAME,2.8194070672873335,Paris,3.349591572487394
7,12,Icy❄,I CAME,2.8194070672873335,Icy❄,4.6708499524187195
